kind,etag,id,snippet.channelId,snippet.title,snippet.assignable,param_part,param_regionCode,param_hl,param_maxResults,param_pageToken,queryTime
youtube#videoCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/S730Ilt-Fi-emsQJvJAAShlR6hM""",28,UCBR8-60-B28hp2BmDPdntcQ,Science & Technology,True,snippet,us,en,,,2020-02-04 13:17:01.883889+00:00
youtube#videoCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/S730Ilt-Fi-emsQJvJAAShlR6hM""",29,UCBR8-60-B28hp2BmDPdntcQ,Nonprofits & Activism,True,snippet,us,en,,,2020-02-04 13:17:01.883889+00:00
youtube#videoCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/S730Ilt-Fi-emsQJvJAAShlR6hM""",30,UCBR8-60-B28hp2BmDPdntcQ,Movies,False,snippet,us,en,,,2020-02-04 13:17:01.883889+00:00
youtube#videoCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/S730Ilt-Fi-emsQJvJAAShlR6hM""",31,UCBR8-60-B28hp2BmDPdntcQ,Anime/Animation,False,snippet,us,en,,,2020-02-04 13:17:01.883889+00:00
youtube#videoCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/S730Ilt-Fi-emsQJvJAAShlR6hM""",32,UCBR8-60-B28hp2BmDPdntcQ,Action/Adventure,False,snippet,us,en,,,2020-02-04 13:17:01.883889+00:00
youtube#videoCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/S730Ilt-Fi-emsQJvJAAShlR6hM""",33,UCBR8-60-B28hp2BmDPdntcQ,Classics,False,snippet,us,en,,,2020-02-04 13:17:01.883889+00:00
youtube#videoCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/S730Ilt-Fi-emsQJvJAAShlR6hM""",34,UCBR8-60-B28hp2BmDPdntcQ,Comedy,False,snippet,us,en,,,2020-02-04 13:17:01.883889+00:00
youtube#videoCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/S730Ilt-Fi-emsQJvJAAShlR6hM""",35,UCBR8-60-B28hp2BmDPdntcQ,Documentary,False,snippet,us,en,,,2020-02-04 13:17:01.883889+00:00
youtube#videoCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/S730Ilt-Fi-emsQJvJAAShlR6hM""",36,UCBR8-60-B28hp2BmDPdntcQ,Drama,False,snippet,us,en,,,2020-02-04 13:17:01.883889+00:00
youtube#videoCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/S730Ilt-Fi-emsQJvJAAShlR6hM""",37,UCBR8-60-B28hp2BmDPdntcQ,Family,False,snippet,us,en,,,2020-02-04 13:17:01.883889+00:00
